No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-10917-x40-02.tif;1396;494.479943;452.893266;39.537888;50.676695;1.997167;1.281725;0.780199;0.692116;294.000000;0.625532;187.178000;0.719642;6.392157e-01;7.921569e-01
2;F-10917-x40-02.tif;1970;520.298985;529.095939;41.389409;86.087701;3.838297;2.079945;0.480782;0.338450;1177.000000;0.876840;308.253000;0.723937;6.352941e-01;9.058824e-01
3;F-10917-x40-02.tif;2949;648.320109;560.729400;42.857772;109.116500;3.445651;2.546014;0.392771;0.315358;916.000000;0.919636;357.337000;0.705255;5.921569e-01;8.588235e-01
4;F-10917-x40-02.tif;2153;726.587552;314.302833;48.688604;79.759412;5.508270;1.638154;0.610443;0.430914;1349.000000;0.792060;386.042000;0.685025;5.882353e-01;8.392157e-01
5;F-10917-x40-02.tif;2718;815.496321;338.149007;51.542630;75.157639;2.517946;1.458165;0.685794;0.612651;535.000000;0.727796;293.260000;0.667985;5.176471e-01;8.078431e-01
6;F-10917-x40-02.tif;1291;791.886909;555.243997;38.619627;43.250050;1.188775;1.119898;0.892938;0.878746;60.000000;0.450179;138.873000;0.688920;5.803922e-01;8.470588e-01
7;F-10917-x40-02.tif;1014;799.819527;514.751479;31.668570;42.025570;1.224995;1.327044;0.753555;0.731006;89.000000;0.657385;124.937000;0.713996;6.078431e-01;8.235294e-01
8;F-10917-x40-02.tif;3242;873.112585;366.964837;52.172924;104.428485;5.111927;2.001584;0.499604;0.378517;1271.000000;0.866254;456.356000;0.693812;5.411765e-01;8.039216e-01
9;F-10917-x40-02.tif;2876;923.481572;546.552851;47.398404;108.874286;3.533921;2.297003;0.435350;0.308922;1435.000000;0.900261;357.378000;0.694388;5.647059e-01;9.058824e-01
10;F-10917-x40-02.tif;1997;1011.945418;560.531297;52.739845;57.155144;2.939466;1.083718;0.922749;0.778355;623.000000;0.385402;271.599000;0.682520;5.490196e-01;8.392157e-01
11;F-10917-x40-02.tif;1853;1040.536427;365.487858;42.511276;59.928741;2.272967;1.409714;0.709364;0.656924;367.000000;0.704843;230.059000;0.687146;5.882353e-01;8.235294e-01
12;F-10917-x40-02.tif;539;1087.604824;391.538033;23.433835;39.467822;2.913769;1.684224;0.593745;0.440568;233.000000;0.804653;140.484000;0.697035;5.843137e-01;8.000000e-01
13;F-10917-x40-02.tif;1279;1230.009382;140.721658;38.463792;43.451606;1.185113;1.129676;0.885210;0.862520;73.000000;0.465192;138.013000;0.648595;5.529412e-01;7.960784e-01
14;F-10917-x40-02.tif;2501;1269.381048;222.141543;57.915468;68.484478;2.939781;1.182490;0.845673;0.678953;640.000000;0.533702;303.962000;0.692001;5.803922e-01;8.549020e-01
15;F-10917-x40-02.tif;6965;1336.857717;93.758794;74.093197;163.045447;4.602760;2.200545;0.454433;0.333591;2857.000000;0.890781;634.709000;0.686046;5.843137e-01;8.941176e-01
16;F-10917-x40-02.tif;317;1312.782334;243.690852;13.722807;31.572474;1.415867;2.300730;0.434645;0.404904;24.000000;0.900602;75.101000;0.714492;6.196078e-01;7.960784e-01
17;F-10917-x40-02.tif;405;1366.217284;237.209877;15.384540;36.582111;1.793705;2.377849;0.420548;0.385325;90.000000;0.907270;95.545000;0.704333;6.196078e-01;7.764706e-01
18;F-10917-x40-02.tif;4622;1406.957378;161.517525;51.326366;135.463292;2.992545;2.639253;0.378895;0.320698;1277.000000;0.925440;416.908000;0.680004;5.607843e-01;8.509804e-01
19;F-10917-x40-02.tif;3328;1426.427885;86.792969;57.726819;96.071475;2.471869;1.664243;0.600874;0.459097;1049.000000;0.799344;321.521000;0.702242;5.882353e-01;8.509804e-01
20;F-10917-x40-02.tif;939;1412.850905;204.912673;28.678085;42.591245;1.126361;1.485150;0.673333;0.659075;41.000000;0.739339;115.286000;0.696227;5.882353e-01;8.039216e-01
21;F-10917-x40-02.tif;4035;1522.458240;234.940768;50.609323;180.137338;5.893564;3.559371;0.280949;0.158324;3288.000000;0.959723;546.658000;0.705918;5.450980e-01;8.823529e-01
22;F-10917-x40-02.tif;482;1513.929461;139.271784;22.000372;34.978755;1.917729;1.589917;0.628964;0.501590;156.000000;0.777435;107.776000;0.717907;6.431373e-01;8.666667e-01
